"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 23, 2022","41.00","42.00","42.00","40.50","129.78K","-1.91%"
"Mar 22, 2022","41.80","41.50","42.20","41.30","182.96K","0.72%"
"Mar 21, 2022","41.50","42.00","42.50","41.00","420.41K","-1.19%"
"Mar 18, 2022","42.00","41.90","42.80","40.80","246.92K","1.45%"
"Mar 16, 2022","41.40","41.20","41.90","39.00","436.08K","0.49%"
"Mar 15, 2022","41.20","42.00","43.40","40.50","577.81K","-1.67%"
"Mar 14, 2022","41.90","40.00","43.80","39.70","1.91M","5.81%"
"Mar 11, 2022","39.60","39.50","41.00","39.20","638.97K","2.33%"
"Mar 10, 2022","38.70","35.70","38.70","35.60","402.15K","8.71%"
"Mar 09, 2022","35.60","37.20","38.00","35.50","222.26K","-4.81%"
"Mar 08, 2022","37.40","39.00","39.70","36.00","495.27K","0.54%"
"Mar 07, 2022","37.20","38.70","38.70","37.00","273.01K","-2.36%"
"Mar 04, 2022","38.10","38.00","38.50","37.70","160.95K","-0.26%"
"Mar 03, 2022","38.20","39.00","39.20","38.00","305.94K","-2.05%"
"Mar 02, 2022","39.00","40.80","40.80","38.80","314.57K","-1.76%"
"Feb 28, 2022","39.70","38.00","39.90","38.00","325.26K","3.93%"
"Feb 25, 2022","38.20","36.00","39.90","35.90","840.77K","4.66%"
"Feb 24, 2022","36.50","38.50","39.00","36.00","551.68K","-6.41%"
"Feb 23, 2022","39.00","40.50","40.50","37.50","820.02K","-3.70%"
"Feb 22, 2022","40.50","40.10","41.40","39.90","517.81K","0.50%"
"Feb 21, 2022","40.30","40.40","40.80","39.60","1.25M","-0.49%"
"Feb 18, 2022","40.50","41.50","41.50","40.20","383.11K","-2.17%"
"Feb 17, 2022","41.40","41.40","41.80","40.30","610.82K","-0.24%"
"Feb 15, 2022","41.50","42.00","42.00","41.10","398.01K","-0.48%"
"Feb 14, 2022","41.70","42.20","42.60","41.30","542.10K","-0.71%"
"Feb 11, 2022","42.00","43.00","43.00","40.90","2.39M","-6.25%"
"Feb 10, 2022","44.80","44.00","45.40","43.10","491.93K","-0.67%"
"Feb 09, 2022","45.10","45.80","46.00","43.90","749.93K","-1.53%"
"Feb 08, 2022","45.80","47.00","47.00","45.50","397.07K","-2.14%"
"Feb 07, 2022","46.80","47.10","47.90","46.60","283.85K","-1.27%"
"Feb 03, 2022","47.40","46.00","47.60","45.90","384.32K","2.16%"
"Feb 02, 2022","46.40","47.80","48.00","45.60","895.86K","-3.13%"
"Feb 01, 2022","47.90","48.50","48.50","47.60","382.17K","-0.21%"
"Jan 31, 2022","48.00","48.70","49.00","47.90","345.06K","0.00%"
"Jan 28, 2022","48.00","49.00","49.00","47.60","563.19K","-1.84%"
"Jan 27, 2022","48.90","49.40","49.90","48.30","564.02K","0.20%"
"Jan 26, 2022","48.80","49.50","49.70","48.10","460.53K","-0.41%"
"Jan 25, 2022","49.00","49.90","49.90","48.80","751.19K","-1.61%"
"Jan 24, 2022","49.80","49.50","49.90","49.10","774.17K","1.63%"
"Jan 21, 2022","49.00","49.10","49.60","49.00","571.07K","-0.20%"
"Jan 20, 2022","49.10","49.50","49.90","49.00","1.23M","-1.21%"
"Jan 19, 2022","49.70","49.80","49.80","49.30","432.14K","-0.20%"
"Jan 18, 2022","49.80","49.50","49.90","49.00","938.70K","0.61%"
"Jan 13, 2022","49.50","49.60","49.80","49.00","640.93K","-1.00%"
"Jan 12, 2022","50.00","50.00","50.20","49.40","755.10K","0.00%"
"Jan 11, 2022","50.00","50.60","51.00","49.60","1.00M","0.00%"
"Jan 10, 2022","50.00","52.00","52.00","49.70","1.64M","-3.66%"
"Jan 07, 2022","51.90","51.00","52.40","50.50","1.74M","2.77%"
"Jan 06, 2022","50.50","51.00","51.50","49.50","978.91K","-0.98%"
"Jan 05, 2022","51.00","52.50","53.00","51.00","1.20M","-2.49%"
"Jan 04, 2022","52.30","50.50","52.40","49.80","2.71M","3.98%"
"Jan 03, 2022","50.30","51.00","51.50","49.90","703.19K","-1.37%"
"Dec 31, 2021","51.00","51.10","51.90","50.50","1.17M","0.39%"
"Dec 30, 2021","50.80","51.00","51.10","50.70","668.67K","-0.39%"
"Dec 29, 2021","51.00","52.00","52.00","50.50","503.57K","-0.97%"
