"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2021","3.64","3.64","3.93","3.46","94.05K","1.64%"
"Mar 02, 2021","3.58","3.58","3.64","3.58","3.50K","0.00%"
"Mar 01, 2021","3.58","3.58","3.76","3.58","17.51K","-1.61%"
"Feb 25, 2021","3.64","3.34","3.64","3.34","39.93K","6.90%"
"Feb 24, 2021","3.40","3.46","3.52","3.40","12.39K","-3.33%"
"Feb 23, 2021","3.52","3.52","3.58","3.23","81.45K","0.00%"
"Feb 22, 2021","3.52","3.64","3.70","3.46","158.96K","-3.23%"
"Feb 19, 2021","3.64","3.64","3.87","3.58","74.52K","-1.59%"
"Feb 18, 2021","3.70","3.76","3.87","3.64","22.78K","0.00%"
"Feb 17, 2021","3.70","3.52","3.70","3.52","37.98K","0.00%"
"Feb 16, 2021","3.70","3.52","3.99","3.52","59.64K","-7.35%"
"Feb 15, 2021","3.99","4.05","4.05","3.93","4.65K","0.00%"
"Feb 12, 2021","3.99","3.52","4.11","3.52","105.42K","4.62%"
"Feb 11, 2021","3.81","3.70","3.87","3.23","42.59K","-2.99%"
"Feb 10, 2021","3.93","3.87","4.05","3.70","65.92K","1.52%"
"Feb 09, 2021","3.87","3.99","4.05","3.87","48.98K","-2.94%"
"Feb 08, 2021","3.99","4.11","4.11","3.93","109.54K","-2.86%"
"Feb 05, 2021","4.11","4.17","4.17","3.99","21.66K","4.48%"
"Feb 03, 2021","3.93","3.81","4.28","3.81","151.26K","1.52%"
"Feb 02, 2021","3.87","3.93","3.99","3.76","106.62K","-2.94%"
"Feb 01, 2021","3.99","4.05","4.17","3.93","213.45K","-1.45%"
"Jan 29, 2021","4.05","4.11","4.11","3.70","255.10K","0.00%"
"Jan 27, 2021","4.05","4.17","4.23","4.05","106.93K","-1.43%"
"Jan 26, 2021","4.11","4.23","4.23","4.05","244.63K","0.00%"
"Jan 25, 2021","4.11","4.11","4.23","3.99","251.84K","0.00%"
"Jan 22, 2021","4.11","4.23","4.23","4.05","573.17K","-1.41%"
"Jan 21, 2021","4.17","4.23","4.28","4.11","860.33K","0.00%"
"Jan 20, 2021","4.17","4.34","4.34","4.11","993.23K","-1.39%"
"Jan 19, 2021","4.23","4.40","4.40","4.23","286.14K","-2.70%"
"Jan 18, 2021","4.34","4.46","4.52","4.28","374.66K","-2.63%"
"Jan 15, 2021","4.46","4.28","4.64","4.28","875.48K","4.11%"
"Jan 13, 2021","4.28","4.40","4.40","4.17","1.04M","-1.35%"
"Jan 12, 2021","4.34","4.64","4.69","4.28","718.50K","-5.13%"
"Jan 11, 2021","4.58","4.69","4.81","4.58","452.79K","-3.70%"
"Jan 08, 2021","4.75","4.81","4.81","4.64","222.07K","-1.22%"
"Jan 07, 2021","4.81","4.99","4.99","4.69","305.41K","-3.53%"
"Jan 06, 2021","4.99","5.05","5.11","4.81","430.47K","-2.30%"
"Jan 05, 2021","5.11","5.16","5.16","5.05","314.40K","-1.14%"
"Jan 04, 2021","5.16","5.22","5.22","5.05","341.98K","-2.22%"
"Dec 31, 2020","5.28","5.28","5.34","4.40","1.03M","-4.26%"
"Dec 28, 2020","5.52","5.28","5.81","5.28","1.76M","4.44%"
"Dec 24, 2020","5.28","5.11","5.40","5.05","434.55K","3.45%"
"Dec 23, 2020","5.11","5.11","5.11","5.05","81.54K","0.00%"
"Dec 22, 2020","5.11","5.16","5.16","5.05","40.24K","1.16%"
"Dec 21, 2020","5.05","5.11","5.16","5.05","60.80K","-2.27%"
"Dec 18, 2020","5.16","5.16","5.16","5.11","4.01K","1.15%"
"Dec 17, 2020","5.11","5.11","5.22","5.11","130.85K","-2.25%"
"Dec 16, 2020","5.22","5.11","5.22","5.11","94.74K","1.14%"
"Dec 15, 2020","5.16","5.28","5.28","5.16","42.96K","-1.12%"
"Dec 14, 2020","5.22","5.28","5.28","5.16","114.34K","-1.11%"
"Dec 11, 2020","5.28","5.16","5.34","5.11","75.11K","1.12%"
"Dec 10, 2020","5.22","5.22","5.28","5.16","146.89K","0.00%"
"Dec 09, 2020","5.22","5.28","5.28","5.16","198.86K","0.00%"
"Dec 08, 2020","5.22","5.34","5.34","5.22","156.84K","0.00%"
"Dec 07, 2020","5.22","5.34","5.34","5.22","167.76K","-1.11%"
"Dec 04, 2020","5.28","5.34","5.34","5.22","91.58K","0.00%"
"Dec 03, 2020","5.28","5.28","5.34","5.22","90.34K","1.12%"
"Dec 02, 2020","5.22","5.22","5.28","5.22","70.41K","-1.11%"
"Dec 01, 2020","5.28","5.28","5.28","5.16","66.70K","1.12%"
"Nov 30, 2020","5.22","5.28","5.34","5.22","87.52K","0.00%"
"Nov 27, 2020","5.22","5.28","5.28","5.22","43.39K","-1.11%"
"Nov 26, 2020","5.28","5.28","5.34","5.28","29.74K","0.00%"
"Nov 25, 2020","5.28","5.28","5.40","5.22","30.55K","1.12%"
"Nov 24, 2020","5.22","5.28","5.28","5.22","48.08K","-1.11%"
